"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"252",248.676840390026,-0.0964895673631512,0.129121434033097,-0.747277693170743,0.454895954628268,0.504278879676835
"2774",93.4407459779674,-0.140699843376658,0.189750829917486,-0.741497907744811,0.458391599902408,0.507965802558521
"2652",34.6728029364394,-0.226374364610963,0.305902313698768,-0.740021747053148,0.459286798790002,0.508769382443423
"1536",976.446329086965,0.0565126142035952,0.0764104722411925,0.739592526338681,0.459547277887148,0.508869524588581
"75",356.199432418315,-0.10295033892239,0.139933642772283,-0.735708274885138,0.461908252707488,0.511294669663634
"2426",0.672385578470152,1.64735292792732,2.25712289151742,0.729846360655994,0.465484102657672,0.515062291106418
"2881",0.671804792685178,1.64589914716408,2.25761972372409,0.729041800028686,0.465976093756929,0.515416071172175
"749",116.532912963133,-0.129091351372591,0.178083585375235,-0.724891915785425,0.468518340776745,0.518036539395425
"275",0.369963898125206,2.09022142410593,2.89117489693108,0.722966094622866,0.46970071494755,0.518960317253718
"2113",0.369963898125206,2.09022142410593,2.89117489693108,0.722966094622866,0.46970071494755,0.518960317253718
"1812",25.6540316089933,0.271326768667505,0.375785318398464,0.722025995650538,0.470278495148726,0.519406887222217
"296",1.62051994484707,-1.02780630260853,1.42897902833736,-0.7192591929109,0.471981233972724,0.521095148356602
"91",1.61007627734031,-1.04670880364164,1.46774466472303,-0.71314093574931,0.47575855071137,0.525071775628336
"1018",321.532691372615,-0.0854600996943293,0.120349511035755,-0.710099268030591,0.477642580201662,0.526956710900949
"1167",1104.09305536009,-0.0701828434252584,0.0990229231035552,-0.70875350096324,0.47847745782241,0.527683211870494
"1759",2926.69000871828,0.0435045735732844,0.0617268153544744,0.70479212840406,0.480939607904684,0.530203134432872
"1456",147.559899716073,0.108644795519523,0.155172239318954,0.700156136151423,0.4838298015201,0.532526245948784
"1822",9.09774987566111,0.43659102227342,0.623065668860338,0.700714297213642,0.483481331759228,0.532526245948784
"2594",0.35686338073323,2.05038456056442,2.92719552333222,0.700460404582174,0.483639824500323,0.532526245948784
"2621",2.55328637846976,0.784103410403941,1.12017202381915,0.699984818162658,0.483936785673377,0.532526245948784
"2987",0.35686338073323,2.05038456056442,2.92719552333222,0.700460404582174,0.483639824500323,0.532526245948784
"2",2.55505761172657,0.782712662642045,1.1200487610176,0.698820167374614,0.48466442337619,0.533130865713809
"750",40.9968650207676,-0.200146971701553,0.286739050156403,-0.69801086246321,0.48517040090702,0.533491304488719
"72",81.3288059444934,0.146360111926738,0.209797706233884,0.697624938585242,0.485411781249905,0.533560635378293
"1826",2183.79834434242,-0.048003300543743,0.0692100772072107,-0.693588310847048,0.487940426370646,0.536143134668003
"1466",6350.27029489428,-0.0414252408860963,0.0599083380092337,-0.69147705081906,0.489265797784643,0.537402080386069
"1653",9.78182314438705,-0.395584843393662,0.576149014230531,-0.686601614552757,0.492333810773468,0.540573490581364
"485",1411.44337051179,-0.0748060642869082,0.1092082174429,-0.684985672676334,0.493352961970213,0.541493786579192
"539",1577.97998250939,-0.0459993134789612,0.0682118857618935,-0.674359211230877,0.500082968102194,0.548478094047567
